timestamp,sender,intent,mensagem,lat,lng,ciclo_id,fragmento
2022-10-28 09:59:55.000000000,Control,outros,Any teams operating at the moment?,31.25107,121.40004,,False
2022-10-28 10:00:00.000000000,UAS-61,I1,"UAS-61 requesting departure, Yellow Zone, 50 meters.",31.18774,121.53063,72.0,False
2022-10-28 10:00:00.000000000,UAV-04,I1,"Control, UAV-04 requesting takeoff. Orange Zone, 60m.",31.17537,121.63177,5.0,False
2022-10-28 10:00:30.000000000,Control,I2,"UAS-61 cleared for takeoff, wind 306°/18kt, report when airborne.",31.18774,121.53063,72.0,False
2022-10-28 10:00:30.000000000,Control,I2,"UAV-04, takeoff at your discretion. Wind 160°/10kt. Report airborne.",31.17537,121.63177,5.0,False
2022-10-28 10:00:44.000000000,Control,outros,Operations update — maintain separation.,31.24288,121.54609,,False
2022-10-28 10:01:00.000000000,UAS-61,,Aircraft off ground.,31.18774,121.53063,,False
2022-10-28 10:01:00.000000000,RPA-88,I1,"Control, RPA-88 requesting takeoff. Green Zone, 30m.",31.25107,121.40004,103.0,False
2022-10-28 10:01:00.000000000,UAV-04,,Airborne.,31.17537,121.63177,,False
2022-10-28 10:01:15.000000000,Control,,Acknowledged.,31.18774,121.53063,,False
2022-10-28 10:01:15.000000000,Control,,Copy 👍,31.17537,121.63177,,False
2022-10-28 10:01:30.000000000,Control,I2,Authorized RPA-88. Wind 160°/10kt. Report airborne.,31.25107,121.40004,103.0,False
2022-10-28 10:02:00.000000000,UAS-81,I1,"Control, UAS-81 requesting takeoff clearance, Blue Zone, altitude 30m.",31.24033,121.43569,95.0,False
2022-10-28 10:02:00.000000000,RPA-88,,RPA-88 off ground.,31.25107,121.40004,,False
2022-10-28 10:02:00.000000000,AERIAL-100,I1,"Control, AERIAL-100 here.",31.24288,121.54609,116.0,False
2022-10-28 10:02:08.000000000,AERIAL-100,I1,"Requesting takeoff, Red Zone, 40m.",31.24288,121.54609,116.0,True
2022-10-28 10:02:15.000000000,Control,,Control copies.,31.25107,121.40004,,False
2022-10-28 10:02:30.000000000,Control,I2,"UAS-81, takeoff at your discretion. Wind 306°/18kt. Report airborne.",31.24033,121.43569,95.0,False
2022-10-28 10:02:30.000000000,Control,I2,"AERIAL-100, departure authorized, Red Zone, 40m. Wind 160°/10kt. Report airborne.",31.24288,121.54609,116.0,False
2022-10-28 10:03:00.000000000,UAS-81,,UAS-81 off ground.,31.24033,121.43569,,False
2022-10-28 10:03:00.000000000,AERIAL-100,,Aircraft off ground.,31.24288,121.54609,,False
2022-10-28 10:03:15.000000000,Control,,"Copy, report on return.",31.24288,121.54609,,False
2022-10-28 10:03:15.000000000,Control,,Control copies.,31.24033,121.43569,,False
2022-10-28 10:06:00.000000000,DRONE-22,I1,"DRONE-22 awaiting takeoff authorization, Yellow Zone, 50m.",31.18783,121.53077,26.0,False
2022-10-28 10:06:30.000000000,Control,I2,"DRONE-22 cleared for takeoff, wind 277°/13kt, report when airborne.",31.18783,121.53077,26.0,False
2022-10-28 10:07:00.000000000,DRONE-22,,DRONE-22 off ground.,31.18783,121.53077,,False
2022-10-28 10:07:15.000000000,Control,,Acknowledged.,31.18783,121.53077,,False
2022-10-28 10:09:00.000000000,RPA-38,I1,"Control, RPA-38 requesting takeoff. Yellow Zone, 40m.",31.18772,121.53069,43.0,False
2022-10-28 10:09:30.000000000,Control,I2,"RPA-38, takeoff at your discretion. Wind 150°/05kt. Report airborne.",31.18772,121.53069,43.0,False
2022-10-28 10:10:00.000000000,DRONE-27,I1,"Control, DRONE-27 requesting takeoff clearance, Red Zone, altitude 30m.",31.24281,121.54608,31.0,False
2022-10-28 10:10:00.000000000,RPA-38,,RPA-38 off ground.,31.18772,121.53069,,False
2022-10-28 10:10:15.000000000,Control,,Control copies.,31.18772,121.53069,,False
2022-10-28 10:10:30.000000000,Control,I2,"DRONE-27, departure authorized, Red Zone, 30m. Wind 233°/18kt. Report airborne.",31.24281,121.54608,31.0,False
2022-10-28 10:11:00.000000000,Control,I7,"Team, UAS-61 reported in Yellow Zone, altitude 20m.",31.188123,121.53025,,False
2022-10-28 10:11:00.000000000,DRONE-27,,Off the ground.,31.24281,121.54608,,False
2022-10-28 10:11:15.000000000,Control,,Acknowledged.,31.24281,121.54608,,False
2022-10-28 10:12:00.000000000,RPA-03,I1,"RPA-03 requesting departure, Red Zone, 60 meters.",31.24294,121.5461,3.0,False
2022-10-28 10:12:00.000000000,UAV-44,I1,"Control, UAV-44 requesting takeoff clearance, Yellow Zone, altitude 30m.",31.18776,121.53071,50.0,False
2022-10-28 10:12:30.000000000,Control,I2,"RPA-03, departure authorized. Wind 150°/05kt.",31.24294,121.5461,3.0,False
2022-10-28 10:12:30.000000000,Control,I2,Authorized UAV-44. Wind 150°/05kt. Report airborne.,31.18776,121.53071,50.0,False
2022-10-28 10:12:47.000000000,Control,I2,Report airborne.,31.24294,121.5461,3.0,True
2022-10-28 10:13:00.000000000,UAS-96,I1,"Control, UAS-96 requesting takeoff clearance.",31.18778,121.5307,112.0,False
2022-10-28 10:13:00.000000000,RPA-03,,Airborne.,31.24294,121.5461,,False
2022-10-28 10:13:00.000000000,UAV-44,,Aircraft off ground.,31.18776,121.53071,,False
2022-10-28 10:13:08.000000000,UAS-96,I1,"Yellow Zone, altitude 40m.",31.18778,121.5307,112.0,True
2022-10-28 10:13:15.000000000,Control,,Control copies.,31.18776,121.53071,,False
2022-10-28 10:13:30.000000000,Control,I2,"UAS-96, takeoff at your discretion. Wind 150°/05kt. Report airborne.",31.18778,121.5307,112.0,False
2022-10-28 10:14:00.000000000,UAS-96,,Off the ground.,31.18778,121.5307,,False
2022-10-28 10:14:36.000000000,Control,outros,Any teams operating at the moment?,31.24295,121.54616,,False
2022-10-28 10:16:00.000000000,UAS-51,I1,"UAS-51 awaiting takeoff authorization, Red Zone, 60m.",31.24295,121.54616,59.0,False
2022-10-28 10:16:00.000000000,AERIAL-105,I1,"AERIAL-105 awaiting takeoff authorization, Red Zone, 20m.",31.24289,121.54615,121.0,False
2022-10-28 10:16:26.000000000,Control,outros,Weather holding. Proceed normally.,31.24292,121.54603,,False
2022-10-28 10:16:30.000000000,Control,I2,"UAS-51, departure authorized. Wind 233°/18kt.",31.24295,121.54616,59.0,False
2022-10-28 10:16:30.000000000,Control,I2,"AERIAL-105, takeoff at your discretion. Wind 150°/05kt. Report airborne.",31.24289,121.54615,121.0,False
2022-10-28 10:16:47.000000000,Control,I2,Report airborne.,31.24295,121.54616,59.0,True
2022-10-28 10:17:00.000000000,AERIAL-105,,Airborne.,31.24289,121.54615,,False
